City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
200,San Remo,IT,2021-04-02 21:27:08,43.8182,7.7612,55.4,100,40,11.5
201,Aksu,CN,2021-04-02 21:27:08,41.1231,80.2644,42.04,64,100,7.99
202,Harlingen,US,2021-04-02 21:26:28,26.1906,-97.6961,73.4,46,20,14.97
203,Andrushivka,UA,2021-04-02 21:27:09,50.0229,29.0202,37.67,74,14,6.53
204,Alenquer,BR,2021-04-02 21:27:09,-1.9417,-54.7383,82.4,74,20,6.91
205,Tuatapere,NZ,2021-04-02 21:27:09,-46.1333,167.6833,46.99,85,100,4.0
206,Dudinka,RU,2021-04-02 21:27:10,69.4058,86.1778,-19.88,95,58,5.39
207,Komsomolskiy,UZ,2021-04-02 21:27:10,40.4272,71.7189,41.0,36,0,2.3
208,Cap Malheureux,MU,2021-04-02 21:27:10,-19.9842,57.6142,77.0,84,3,3.0
209,Bokoro,TD,2021-04-02 21:27:11,12.3807,17.0568,81.57,11,6,12.33
210,Daphne,US,2021-04-02 21:27:11,30.6035,-87.9036,63.0,19,1,9.22
211,Korla,CN,2021-04-02 21:27:11,41.7597,86.1469,47.32,35,100,17.65
212,Luderitz,NA,2021-04-02 21:27:11,-26.6481,15.1594,70.0,48,0,14.12
213,Berlevag,NO,2021-04-02 21:22:39,70.8578,29.0864,29.98,80,90,4.25
214,Limbang,MY,2021-04-02 21:27:12,4.75,115.0,78.8,100,75,1.14
215,Meulaboh,ID,2021-04-02 21:27:12,4.1363,96.1285,76.84,80,100,4.12
216,Severo-Kurilsk,RU,2021-04-02 21:27:12,50.6789,156.125,29.59,80,31,16.69
217,Sharjah,AE,2021-04-02 21:27:13,25.3573,55.4033,80.6,56,0,3.44
218,Biak,ID,2021-04-02 21:22:27,-0.9131,122.8766,77.9,75,100,1.7
219,Vao,NC,2021-04-02 21:27:13,-22.6667,167.4833,74.7,86,100,32.41
220,East London,ZA,2021-04-02 21:27:13,-33.0153,27.9116,63.43,82,99,15.37
221,Guane,CU,2021-04-02 21:27:13,22.2025,-84.0875,77.04,40,2,16.49
222,Coquimbo,CL,2021-04-02 21:24:33,-29.9533,-71.3436,62.6,72,0,12.66
223,Dolores,AR,2021-04-02 21:27:14,-36.3132,-57.6792,65.28,80,1,7.74
224,Saldanha,ZA,2021-04-02 21:27:14,-33.0117,17.9442,62.6,63,19,4.61
225,Garissa,KE,2021-04-02 21:27:14,-0.4536,39.6401,79.97,73,75,14.45
226,Vardo,NO,2021-04-02 21:27:15,70.3705,31.1107,31.86,73,98,7.36
227,Mangrol,IN,2021-04-02 21:27:15,21.1167,70.1167,77.56,76,74,4.45
228,Tolyatti,RU,2021-04-02 21:27:15,53.5303,49.3461,32.0,86,0,8.95
229,Shimoda,JP,2021-04-02 21:27:16,34.6667,138.95,51.01,87,52,11.95
230,Azanka,RU,2021-04-02 21:27:16,58.0401,64.7893,35.89,95,100,8.14
231,Caravelas,BR,2021-04-02 21:22:17,-17.7125,-39.2481,77.86,80,46,6.06
232,Ixtapa,MX,2021-04-02 21:27:16,20.7,-105.2,78.8,69,75,12.66
233,Thongwa,MM,2021-04-02 21:27:17,16.7619,96.5278,80.6,94,90,1.14
234,Flinders,AU,2021-04-02 21:22:24,-34.5833,150.8552,62.01,91,0,1.01
235,Nouadhibou,MR,2021-04-02 21:22:32,20.931,-17.0347,68.0,77,0,14.97
236,Hof,DE,2021-04-02 21:25:29,50.3167,11.9167,37.99,75,53,14.0
237,Chibuto,MZ,2021-04-02 21:27:17,-24.6867,33.5306,67.75,72,0,7.23
238,Kermen,BG,2021-04-02 21:27:17,42.5,26.25,51.8,87,40,9.22
239,Chumikan,RU,2021-04-02 21:27:18,54.7183,135.315,27.93,96,100,23.55
240,Mayo,US,2021-04-02 21:27:18,38.8876,-76.5119,46.0,33,40,18.41
241,Quatre Cocos,MU,2021-04-02 21:27:18,-20.2078,57.7625,77.0,100,40,3.44
242,Carayao,PY,2021-04-02 21:24:12,-25.1833,-56.4,79.21,43,0,4.34
243,Hemnesberget,NO,2021-04-02 21:27:19,66.2333,13.6333,29.5,97,99,5.77
244,Iqaluit,CA,2021-04-02 21:27:19,63.7506,-68.5145,-4.0,65,1,3.44
245,Williams Lake,CA,2021-04-02 21:26:47,52.1415,-122.1445,46.0,42,90,8.05
246,Dzialdowo,PL,2021-04-02 21:27:19,53.2396,20.17,39.2,70,0,5.75
247,Comodoro Rivadavia,AR,2021-04-02 21:27:19,-45.8667,-67.5,64.4,68,40,6.91
248,De-Kastri,RU,2021-04-02 21:27:20,51.4667,140.7833,32.31,93,100,13.42
249,Voykove,UA,2021-04-02 21:27:20,45.3826,36.4372,45.52,91,6,12.95
250,Fort Wellington,GY,2021-04-02 21:27:20,6.4,-57.6,79.95,75,78,8.77
251,Pevek,RU,2021-04-02 21:27:21,69.7008,170.3133,-14.75,93,9,1.68
252,Banda Aceh,ID,2021-04-02 21:27:21,5.5577,95.3222,80.62,74,100,7.83
253,Zaranj,AF,2021-04-02 21:27:21,30.9667,61.8833,62.6,39,0,6.91
254,Guatire,VE,2021-04-02 21:27:22,10.4762,-66.5427,82.89,64,31,6.82
255,Phalombe,MW,2021-04-02 21:27:22,-15.8064,35.6507,62.65,86,0,2.1
256,Canon City,US,2021-04-02 21:27:22,38.441,-105.2424,77.0,11,1,4.61
257,Lazaro Cardenas,MX,2021-04-02 21:27:22,17.9583,-102.2,85.53,54,8,11.86
258,Palafrugell,ES,2021-04-02 21:27:23,41.9174,3.1631,55.99,22,99,4.43
259,Chuy,UY,2021-04-02 21:27:23,-33.6971,-53.4616,67.17,69,10,7.87
260,Ndele,CF,2021-04-02 21:27:23,8.4109,20.6473,88.99,25,89,4.05
261,Ahipara,NZ,2021-04-02 21:27:24,-35.1667,173.1667,66.67,74,35,10.6
262,Hithadhoo,MV,2021-04-02 21:27:24,-0.6,73.0833,83.64,75,85,19.69
263,Bembereke,BJ,2021-04-02 21:27:24,10.2283,2.6634,81.72,9,46,4.43
264,Strezhevoy,RU,2021-04-02 21:27:24,60.7333,77.5889,33.8,93,90,11.18
265,Kuching,MY,2021-04-02 21:27:25,1.55,110.3333,75.0,100,20,2.3
266,Remiremont,FR,2021-04-02 21:25:50,48.0175,6.5882,48.2,57,0,4.61
267,Bethel,US,2021-04-02 21:26:11,41.3712,-73.414,33.01,48,100,11.77
268,Taoudenni,ML,2021-04-02 21:27:25,22.6783,-3.9836,92.59,7,62,6.96
269,Hasaki,JP,2021-04-02 21:27:25,35.7333,140.8333,51.8,82,20,3.44
270,Kavieng,PG,2021-04-02 21:27:26,-2.5744,150.7967,83.19,77,99,8.7
271,Kamenka,RU,2021-04-02 21:27:26,51.3223,42.7678,42.01,66,43,9.57
272,Fangshan,CN,2021-04-02 21:27:26,39.6983,115.9925,55.0,49,100,1.01
273,Bilibino,RU,2021-04-02 21:23:02,68.0546,166.4372,-3.6,85,100,6.69
274,Youkounkoun,GN,2021-04-02 21:27:27,12.5333,-13.1333,91.76,12,10,4.88
275,Ambilobe,MG,2021-04-02 21:27:27,-13.2,49.05,72.55,89,44,3.4
276,Cabo San Lucas,MX,2021-04-02 21:26:02,22.8909,-109.9124,88.0,29,75,2.3
277,Upernavik,GL,2021-04-02 21:27:27,72.7868,-56.1549,-11.76,94,100,12.21
278,Moa,CU,2021-04-02 21:27:28,20.6569,-74.9403,75.43,85,46,1.45
279,Namatanai,PG,2021-04-02 21:27:28,-3.6667,152.4333,81.79,78,100,6.08
280,Koumac,NC,2021-04-02 21:27:28,-20.5667,164.2833,76.77,90,100,6.73
281,Saint George,US,2021-04-02 21:25:09,37.1041,-113.5841,84.0,11,1,3.44
282,Barguzin,RU,2021-04-02 21:27:28,53.6167,109.6167,20.41,92,67,3.62
283,Milkovo,RU,2021-04-02 21:27:29,54.7167,158.6167,18.63,67,2,5.93
284,Andros Town,BS,2021-04-02 21:27:29,24.7,-77.7667,75.2,53,40,17.27
285,Magadan,RU,2021-04-02 21:26:12,59.5667,150.8,6.64,70,18,5.91
286,Huarmey,PE,2021-04-02 21:27:29,-10.0681,-78.1522,74.07,75,86,10.18
287,Khatanga,RU,2021-04-02 21:27:30,71.9667,102.5,-33.48,98,7,4.65
288,Kenai,US,2021-04-02 21:27:30,60.5544,-151.2583,26.6,54,1,3.2
289,Jiancheng,CN,2021-04-02 21:27:30,30.391,104.5491,53.01,69,100,1.99
290,Sayyan,YE,2021-04-02 21:27:30,15.1718,44.3244,59.58,31,4,2.21
291,Ngunguru,NZ,2021-04-02 21:27:31,-35.6167,174.5,66.99,81,55,8.01
292,Presidente Olegario,BR,2021-04-02 21:27:31,-18.4178,-46.4181,80.01,60,88,3.33
