City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
205,Komsomolskiy,UZ,40.4272,71.7189,46.4,53,99,4.61,overcast clouds
206,Garissa,KE,-0.4536,39.6401,80.62,76,100,12.08,overcast clouds
207,Wabana,CA,47.6332,-52.9481,37.0,100,90,13.8,fog
208,Sorland,NO,67.667,12.6934,38.05,97,100,21.27,light rain
209,Isangel,VU,-19.55,169.2667,84.2,79,90,11.5,overcast clouds
210,Tautira,PF,-17.7333,-149.15,87.8,62,75,12.66,light rain
211,Vardo,NO,70.3705,31.1107,33.1,90,100,24.07,light snow
212,Airai,TL,-8.9266,125.4092,60.35,96,100,5.7,moderate rain
213,Meulaboh,ID,4.1363,96.1285,75.78,87,92,3.94,overcast clouds
214,Bredasdorp,ZA,-34.5322,20.0403,51.8,82,0,2.3,clear sky
215,Porgera,PG,-5.4667,143.2,48.11,94,100,1.5,overcast clouds
216,San Patricio,US,28.017,-97.5169,71.6,60,1,16.11,clear sky
217,Amahai,ID,-3.3333,128.9167,83.68,71,67,2.04,broken clouds
218,Mporokoso,ZM,-9.3727,30.125,59.81,96,77,5.26,broken clouds
219,Sola,VU,-13.8833,167.55,87.8,79,90,6.91,light rain
220,Fujin,CN,47.26,132.0322,38.19,27,0,11.59,clear sky
221,Honiara,SB,-9.4333,159.95,88.27,63,54,7.7,broken clouds
222,Prykolotne,UA,50.1604,37.3474,35.65,75,73,3.02,broken clouds
223,Lagoa,PT,39.05,-27.9833,59.92,88,97,31.27,overcast clouds
224,Lakshmeshwar,IN,15.1333,75.4667,69.35,77,35,8.77,scattered clouds
225,Bandarban,BD,22.1965,92.2262,77.0,88,46,2.42,haze
226,Esperance,AU,-33.8667,121.9,66.2,72,90,14.97,overcast clouds
227,Ossora,RU,59.2353,163.0719,13.82,72,79,5.28,broken clouds
228,Laredo,US,27.5064,-99.5075,71.6,60,90,13.8,overcast clouds
229,Ulladulla,AU,-35.35,150.4667,79.0,41,17,9.22,few clouds
230,Hobyo,SO,5.3505,48.5268,81.82,73,7,10.42,clear sky
231,Noumea,NC,-22.2763,166.4572,80.6,74,75,14.97,broken clouds
232,Kodiak,US,57.79,-152.4072,48.2,49,1,19.57,clear sky
233,Dingle,PH,10.9995,122.6711,81.57,73,65,11.7,broken clouds
234,Princes Town,TT,10.2667,-61.3833,78.8,78,20,8.05,few clouds
235,Souillac,MU,-20.5167,57.5167,78.8,89,40,4.61,scattered clouds
236,Mayuge,UG,0.4597,33.4803,64.22,94,100,2.84,light rain
237,Aykhal,RU,66.0,111.5,-13.59,99,100,6.17,overcast clouds
238,Bubaque,GW,11.2833,-15.8333,75.56,82,35,16.33,scattered clouds
239,Nanortalik,GL,60.1432,-45.2371,35.6,98,100,10.45,light rain
240,Imbituba,BR,-28.24,-48.6703,68.0,88,0,2.3,clear sky
241,Amapa,BR,1.0,-52.0,72.86,97,95,3.71,overcast clouds
242,Samfya,ZM,-11.3649,29.5565,64.8,90,58,8.52,broken clouds
243,Mount Isa,AU,-20.7333,139.5,80.6,39,0,12.66,clear sky
244,Grindavik,IS,63.8424,-22.4338,33.8,75,75,28.77,broken clouds
245,Save,BJ,8.0425,2.486,81.46,71,96,7.58,overcast clouds
246,Yumen,CN,40.2833,97.2,42.28,70,100,13.62,overcast clouds
247,Ampanihy,MG,-24.7,44.75,68.58,91,0,3.53,clear sky
248,Ratnagiri,IN,16.9833,73.3,75.07,80,68,3.47,broken clouds
249,Hohhot,CN,40.8106,111.6522,35.6,44,0,2.24,clear sky
250,Nioki,CD,-2.7167,17.6833,72.28,93,99,0.74,overcast clouds
251,Berlevag,NO,70.8578,29.0864,33.67,92,100,17.65,light snow
252,Erenhot,CN,43.6475,111.9767,37.04,30,54,6.89,broken clouds
253,Vilhena,BR,-12.7406,-60.1458,75.2,94,0,3.44,moderate rain
254,Sur,OM,22.5667,59.5289,84.33,37,2,9.4,clear sky
255,Pangnirtung,CA,66.1451,-65.7125,-5.24,72,7,7.4,clear sky
256,Saint-Joseph,RE,-21.3667,55.6167,77.0,69,0,5.75,light rain
257,San Pedro,PH,14.35,121.0167,84.99,61,20,3.44,few clouds
258,Laurel,US,39.0993,-76.8483,50.0,36,1,2.17,clear sky
259,Carbondale,US,37.7273,-89.2168,60.8,33,1,14.97,clear sky
260,Balotra,IN,25.8333,72.2333,78.96,17,0,7.87,clear sky
261,Altar,MX,30.7,-111.8167,91.0,12,0,10.0,clear sky
262,Bosconia,CO,9.9689,-73.8836,83.8,63,100,5.3,overcast clouds
263,Moa,CU,20.6569,-74.9403,73.27,85,97,18.61,overcast clouds
264,Danville,US,36.586,-79.395,48.2,34,1,4.61,clear sky
265,Invermere,CA,50.5167,-116.0354,57.99,27,95,1.01,overcast clouds
266,Nalvo,PH,16.8096,120.5108,81.97,51,3,1.05,clear sky
267,Matagami,CA,49.7502,-77.6328,33.8,100,90,3.44,light snow
268,Marsaxlokk,MT,35.8419,14.5431,59.0,100,75,11.5,broken clouds
269,Imeni Poliny Osipenko,RU,52.4201,136.4853,28.87,43,69,6.44,broken clouds
270,Yining,CN,29.0361,114.5636,53.87,89,100,3.71,overcast clouds
271,Pandan,PH,14.0453,124.1694,83.1,64,52,9.64,broken clouds
272,Dunedin,NZ,-45.8742,170.5036,70.86,46,70,8.5,broken clouds
273,Touho,NC,-20.7833,165.2333,78.08,87,100,19.69,overcast clouds
274,Pisco,PE,-13.7,-76.2167,73.4,78,20,4.61,few clouds
275,West Lorne,CA,42.6001,-81.5998,46.0,58,100,11.74,overcast clouds
276,Chuy,UY,-33.6971,-53.4616,64.85,86,5,7.49,clear sky
277,Moindou,NC,-21.6924,165.677,80.6,74,75,14.97,broken clouds
278,Honolulu,US,21.3069,-157.8583,80.6,50,40,18.41,light rain
279,Kinango,KE,-4.1372,39.3153,75.07,90,30,7.9,scattered clouds
280,Trairi,BR,-3.2778,-39.2689,79.39,85,16,9.06,few clouds
281,Bereda,ES,43.2686,-7.5406,43.0,97,26,5.01,scattered clouds
282,Bonfim,BR,3.0833,-59.95,86.85,51,98,7.96,overcast clouds
283,Lima,PE,-12.0432,-77.0282,73.4,68,0,5.75,clear sky
284,Elko,US,41.0002,-115.5012,73.4,9,1,5.75,clear sky
285,Erzin,TR,36.9559,36.2,57.99,89,40,1.66,scattered clouds
286,Prince Rupert,CA,54.3161,-130.3201,42.8,70,1,4.61,clear sky
287,Puerto Madryn,AR,-42.7692,-65.0385,72.09,52,36,14.54,scattered clouds
288,Hasaki,JP,35.7333,140.8333,66.2,63,75,10.36,broken clouds
289,Marivan,IR,35.5219,46.176,39.54,73,29,2.15,scattered clouds
290,Sapa,PH,5.1544,120.3241,83.25,74,97,5.46,overcast clouds
291,Naryan-Mar,RU,67.6713,53.087,6.55,94,60,5.14,broken clouds
292,Agadir,MA,30.4202,-9.5982,59.0,82,20,3.44,few clouds
293,Vestmannaeyjar,IS,63.4427,-20.2734,39.54,70,94,33.55,overcast clouds
294,Punahana,IN,27.8667,77.2,69.98,8,0,3.13,clear sky
295,Marawi,PH,7.9986,124.2928,73.92,84,94,1.88,overcast clouds
296,Muroto,JP,33.2833,134.15,62.6,94,75,4.61,mist
297,Nhulunbuy,AU,-12.2333,136.7667,86.0,66,75,10.36,broken clouds
298,Doha,QA,25.2867,51.5333,73.4,43,0,18.41,clear sky
299,Port Lincoln,AU,-34.7333,135.8667,71.73,68,0,6.53,moderate rain
300,Sa Kaeo,TH,13.75,102.3333,82.71,74,96,6.02,overcast clouds
301,Kloulklubed,PW,7.0419,134.2556,84.2,79,75,8.05,broken clouds
302,Parnamirim,BR,-5.9156,-35.2628,77.0,94,40,3.44,scattered clouds
303,Dongying,CN,37.4564,118.4856,48.25,33,0,7.23,clear sky
304,Moramanga,MG,-18.9333,48.2,64.76,92,91,1.7,overcast clouds
305,Port Blair,IN,11.6667,92.75,79.7,75,77,4.85,broken clouds
306,Zastron,ZA,-30.3023,27.084,52.41,49,2,2.04,clear sky
307,Shirokiy,RU,49.758,129.523,36.66,39,37,10.31,scattered clouds
308,Sakakah,SA,29.9697,40.2064,55.4,24,0,3.44,clear sky
309,Huruta,ET,8.15,39.35,59.88,38,9,6.44,clear sky
310,Hamilton,US,39.1834,-84.5333,60.8,35,1,11.5,clear sky
311,Chipinge,ZW,-20.1883,32.6236,57.67,87,2,2.77,clear sky
312,Comodoro Rivadavia,AR,-45.8667,-67.5,68.0,64,0,1.14,clear sky
313,Yulara,AU,-25.2406,130.9889,78.8,31,0,18.41,clear sky
314,Benguela,AO,-12.5763,13.4055,79.7,86,75,3.85,broken clouds
315,Axams,AT,47.2081,11.2869,37.4,60,75,1.14,broken clouds
316,Waddan,LY,29.1614,16.139,70.09,16,24,8.72,few clouds
317,Severo-Kurilsk,RU,50.6789,156.125,34.56,98,98,16.26,light snow
