City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
371,San Cristobal,VE,82.4,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
372,Axim,GH,79.39,scattered clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
374,Acapulco,MX,84.2,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
375,Shenzhen,CN,81.0,clear sky,22.5455,114.0683,Shenzhen Shanghai Hotel
376,Alyangula,AU,84.31,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
383,Merauke,ID,78.08,overcast clouds,-8.4667,140.3333,PC
384,Madang,PG,75.67,moderate rain,-5.2246,145.7966,Comfort Inn Hotel
394,Cartagena,CO,80.6,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
395,Sassandra,CI,78.31,broken clouds,4.95,-6.0833,la terrasse
396,Beneditinos,BR,84.2,few clouds,-5.45,-42.3667,Pousada e Churrascaria Cabo Miguel
398,Puro,PH,82.02,scattered clouds,12.4841,123.3827,
401,Paluan,PH,81.93,clear sky,13.415999999999999,120.4623,Calawagan Mountain Resort
417,Kahului,US,78.8,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
418,Naifaru,MV,82.65,clear sky,5.4444,73.3657,Naifaru Residence Guest House
422,Biltine,TD,79.75,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
424,Tessalit,ML,77.41,few clouds,20.1986,1.0114,
425,Vao,NC,75.6,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
427,Gladstone,AU,75.2,overcast clouds,-23.85,151.25,Highpoint International
429,Kabanjahe,ID,75.2,scattered clouds,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
436,Port Macquarie,AU,75.99,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
444,Alofi,NU,84.2,broken clouds,-19.0595,-169.9187,Taloa Heights
451,Fayaoue,NC,79.27,light rain,-20.65,166.5333,Chez Dydyce Guesthouse
452,Cap Malheureux,MU,81.0,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
454,Ontario,US,80.01,scattered clouds,34.0633,-117.6509,American Inn
458,Victoria,HK,80.01,clear sky,22.2855,114.1577,Mini Hotel Central
470,Ferkessedougou,CI,85.14,scattered clouds,9.6,-5.2,Hotel Chateau
471,Manavalakurichi,IN,80.6,mist,8.1333,77.3,Udaya Boys Hostel
476,Pagudpud,PH,80.6,few clouds,18.5616,120.7868,Saud Beach Resort and Hotel - 2
483,Altamira,BR,75.29,overcast clouds,-3.2033,-52.2064,Requinte Hotel
493,Matara,LK,75.92,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
494,Kalmunai,LK,77.88,broken clouds,7.4167,81.8167,VS Villa
498,Lakhtar,IN,79.23,clear sky,22.85,71.7833,Firdaus Society
499,Pochutla,MX,88.0,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
501,Quatre Cocos,MU,81.0,light rain,-20.2078,57.7625,Emeraude Beach Attitude Hotel
507,Lopez,PH,81.72,few clouds,13.8844,122.2642,KP Hotel
512,Champerico,GT,82.4,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
513,Pundaguitan,PH,81.3,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
515,Conceicao Do Araguaia,BR,77.16,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
516,Samarai,PG,84.9,light rain,-10.6167,150.6667,Nuli Sapi
519,Seddon,AU,77.0,clear sky,-37.8068,144.8916,Footscray Motor Inn
521,Sorong,ID,83.95,overcast clouds,-0.8833,131.25,The Waigo Hotel
523,Poum,NC,80.4,broken clouds,-20.2333,164.0167,Gîte kajeon
524,Christchurch,NZ,79.0,few clouds,-43.5333,172.6333,The George
525,Akyab,MM,79.43,few clouds,20.15,92.9,Hotel Memory
536,Kibala,TD,85.98,overcast clouds,9.1104,18.3463,
537,Aden,YE,80.69,broken clouds,12.7794,45.0367,Sama Emirate Hotel
538,Port-Gentil,GA,77.0,light rain,-0.7193,8.7815,Fengshui Residence
539,Vila Velha,BR,78.8,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
541,Tulagi,SB,83.25,broken clouds,-9.0996,160.1476,Raiders Hotel & Dive
542,Salalah,OM,75.2,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
546,Luanda,AO,78.8,moderate rain,-8.8368,13.2343,LANDU MARINEZA LUFUANDU TONI
547,Kantang,TH,78.8,light rain,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
552,Broken Hill,AU,78.8,clear sky,-31.95,141.4333,Royal Exchange Hotel
554,Sun Valley,US,75.2,broken clouds,39.5963,-119.77600000000001,Panther Valley RV Park
562,Tomatlan,MX,79.59,broken clouds,19.9333,-105.25,Norma franco
563,Flinders,AU,80.01,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
571,Oranjestad,AW,79.0,few clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
572,Katherine,AU,80.6,overcast clouds,-14.4667,132.2667,Pine Tree Motel
576,Progreso,MX,77.0,few clouds,21.2833,-89.6667,Playa Linda Hotel
579,Sinnamary,GF,77.54,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
580,Coatzacoalcos,MX,77.0,few clouds,18.15,-94.4167,Parque Inn Hotel & Suites
582,Mogadishu,SO,81.46,broken clouds,2.0371,45.3438,Olympic Hotel
585,Port Hedland,AU,86.0,overcast clouds,-20.3167,118.5667,The Esplanade Hotel
592,Tecoanapa,MX,84.65,clear sky,16.5167,-98.75,Hotel Manglares
595,Saint-Paul,RE,78.8,few clouds,-21.0096,55.2707,Boucan Canot
596,La Asuncion,VE,89.6,scattered clouds,11.0333,-63.8628,Colinas de Matasiete
597,Ibra,OM,75.51,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
598,Dhidhdhoo,MV,83.97,broken clouds,6.8833,73.1,Dhidhoo beach
600,Moussoro,TD,79.27,few clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
604,Bacolod,PH,82.69,broken clouds,10.6667,122.95,Planta Hotel & Residences
607,Tuy Hoa,VN,78.94,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
616,Martapura,ID,80.6,few clouds,-3.4167,114.85,Montana Hotel Syariah
617,Clovis,US,82.99,broken clouds,36.8252,-119.7029,"Homewood Suites by Hilton Fresno Airport/Clovis, CA"
618,Bontang,ID,79.52,light rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
622,Lazaro Cardenas,MX,83.84,clear sky,17.9583,-102.2,Hotel Quinta Antigua
624,Kidal,ML,77.63,clear sky,18.4411,1.4078,
633,Lagos,NG,82.4,few clouds,6.5833,3.75,
